order_id,order_date,amount,product_id
1,2020-05-03,959.73,967
2,2024-08-21,547.05,556
3,2021-02-20,509.09,445
4,2021-02-19,272.96,902
5,2020-11-15,476.82,629
6,2022-09-04,695.71,199
7,2021-04-30,111.3,727
8,2022-09-08,656.11,998
9,2022-10-22,589.62,448
10,2023-04-10,861.86,878
11,2023-06-10,473.21,941
12,2022-09-04,628.82,632
13,2023-01-12,673.05,480
14,2024-01-08,249.05,418
15,2025-03-10,893.48,243
16,2023-01-01,867.66,539
17,2023-06-15,914.99,300
18,2020-12-22,513.9,407
19,2025-03-18,380.65,636
20,2023-02-06,334.01,675
21,2023-07-24,75.59,524
22,2023-05-10,466.68,738
23,2023-06-30,45.27,435
24,2020-07-22,557.73,894
25,2021-05-03,586.22,834
26,2024-01-10,416.52,272
27,2023-12-19,821.03,191
28,2023-02-28,529.29,779
29,2022-10-28,74.99,963
30,2022-09-02,731.88,760
31,2023-10-28,630.09,838
32,2021-07-11,432.68,283
33,2020-07-15,633.77,165
34,2020-09-12,554.95,782
35,2020-07-31,376.43,157
36,2021-08-30,813.57,425
37,2023-01-13,953.11,963
38,2024-07-30,437.72,127
39,2022-08-23,685.69,647
40,2024-08-18,471.1,924
41,2022-05-30,128.6,569
42,2022-12-10,286.2,766
43,2024-03-24,229.05,963
44,2023-07-11,149.05,261
45,2022-12-11,483.48,131
46,2020-11-25,382.96,289
47,2022-03-10,391.0,956
48,2023-04-13,145.84,287
49,2025-03-06,659.85,696
50,2021-01-09,766.52,891
51,2023-09-02,171.21,211
52,2024-08-13,294.74,527
53,2024-10-21,724.06,737
54,2022-10-08,425.89,968
55,2020-06-16,878.76,632
56,2023-10-18,690.34,854
57,2024-06-16,765.23,598
58,2020-12-17,600.89,818
59,2024-02-27,280.79,681
60,2020-07-13,752.35,789
61,2022-05-18,282.13,594
62,2022-10-26,105.2,128
63,2024-06-26,107.34,142
64,2020-01-12,691.37,428
65,2020-07-27,968.62,663
66,2020-07-26,897.47,538
67,2023-10-23,477.01,422
68,2025-01-13,546.39,994
69,2023-02-05,755.98,637
70,2024-11-06,996.64,514
71,2025-02-11,28.41,479
72,2024-06-15,154.1,477
73,2023-09-07,763.99,513
74,2024-03-26,341.05,849
75,2020-07-23,432.19,822
76,2025-04-09,709.72,711
77,2022-04-28,342.24,510
78,2023-04-16,560.64,922
79,2024-09-24,899.74,615
80,2021-02-21,326.61,318
81,2021-06-06,414.74,765
